manufacturer,model_name,vehicle_category,ex_showroom_price_inr,price_basis,battery_capacity_kwh,range_km,range_standard,top_speed_kmh,motor_peak_power_kw,launch_status,source_url,source_type,accessed_date,verification_status,verification_notes,source_dataset,provenance_class,eligible_as_observed_analytics
Hero MotoCorp (VIDA),VIDA V1 Plus,electric scooter,97800.0,effective ex-showroom Delhi,3.44,143.0,IDC,80.0,6.0,current,https://www.vidaworld.com/vida-v1.html,official OEM product page,2026-09-12,verified,Price shown is effective ex-showroom Delhi with PM E-Drive and state incentives.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Hero MotoCorp (VIDA),VIDA V1 Pro,electric scooter,126200.0,effective ex-showroom Delhi,3.94,165.0,IDC,80.0,6.0,current,https://www.vidaworld.com/vida-v1.html,official OEM product page,2026-09-12,verified,Price shown is effective ex-showroom Delhi with PM E-Drive and state incentives.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Kinetic Green,E-Luna,electric moped,74990.0,ex-showroom Delhi,2.0,110.0,certified,50.0,1.2,launched 2024,https://kineticgreen.com/e-luna,official OEM product page,2026-09-12,verified,Utility and commercial delivery electric moped with dual tubular steel chassis.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Kinetic Green,Zulu,electric scooter,94990.0,starting ex-showroom,2.27,104.0,certified,60.0,2.1,current,https://kineticgreen.com/zulu,official OEM product page,2026-09-12,verified,Urban commuter scooter with fast charging capability.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ola Electric,S1 Pro Gen 3 3 kWh,electric scooter,114999.0,introductory ex-showroom,3.0,,,,,launched 2025,https://cdn.olaelectric.com/sites/evdp/pages/investor/announcement/s1_portfolio_next_level.pdf,official OEM launch announcement,2026-09-07,verified,Source verifies price and battery only.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ola Electric,S1 Pro Gen 3 4 kWh,electric scooter,134999.0,introductory ex-showroom,4.0,,,,,launched 2025,https://cdn.olaelectric.com/sites/evdp/pages/investor/announcement/s1_portfolio_next_level.pdf,official OEM launch announcement,2026-09-07,verified,Source verifies price and battery only.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ola Electric,S1 Pro Plus Gen 3 4 kWh,electric scooter,154999.0,introductory ex-showroom,4.0,,,,,launched 2025,https://cdn.olaelectric.com/sites/evdp/pages/investor/announcement/s1_portfolio_next_level.pdf,official OEM launch announcement,2026-09-07,verified,Source verifies price and battery only.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ola Electric,S1 Pro Plus Gen 3 5.3 kWh,electric scooter,169999.0,introductory ex-showroom,5.3,,,,,launched 2025,https://cdn.olaelectric.com/sites/evdp/pages/investor/announcement/s1_portfolio_next_level.pdf,official OEM launch announcement,2026-09-07,verified,Source verifies price and battery only.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ola Electric,S1 X Gen 3 2 kWh,electric scooter,84999.0,starting ex-showroom,2.0,108.0,IDC,101.0,7.0,current,https://www.olaelectric.com/s1x-gen3,official OEM product page,2026-09-07,verified,Price is current starting price for S1 X family and may vary by city.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ola Electric,S1 X Gen 3 3 kWh,electric scooter,,,3.0,176.0,IDC,115.0,7.0,current,https://www.olaelectric.com/s1x-gen3,official OEM product page,2026-09-07,verified,No variant-specific current price captured.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ola Electric,S1 X Gen 3 4 kWh,electric scooter,,,4.0,242.0,IDC,123.0,7.0,current,https://www.olaelectric.com/s1x-gen3,official OEM product page,2026-09-07,verified,No variant-specific current price captured.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ola Electric,S1 X Plus Gen 3 4 kWh,electric scooter,120999.0,starting ex-showroom,4.0,242.0,IDC,125.0,11.0,current,https://www.olaelectric.com/s1x-gen3,official OEM product page,2026-09-07,verified,Page presents S1 X Plus 5.2/4 kWh together; price is starting price.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ola Electric,S1 X Plus Gen 3 5.2 kWh,electric scooter,129999.0,introductory ex-showroom,5.2,320.0,IDC,125.0,11.0,launched 2026,https://cdn.olaelectric.com/sites/evdp/pages/investor/announcement/intimation_of_product_launch_dated_april_13_2026.pdf,official OEM launch announcement,2026-09-07,verified,Introductory price was valid until 15 April 2026.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Revolt Motors,Revolt RV400,electric motorcycle,138000.0,ex-showroom Delhi,3.24,150.0,Eco certified,85.0,3.0,current,https://www.revoltmotors.com/rv400,official OEM product page,2026-09-12,verified,AI-enabled commuter electric motorcycle with swappable battery.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Revolt Motors,Revolt RV400 BRZ,electric motorcycle,124999.0,introductory ex-showroom,3.24,150.0,Eco certified,85.0,3.0,current,https://www.revoltmotors.com/rv400-brz,official OEM product page,2026-09-12,verified,Value commuter variant with mechanical key and essential digital cluster.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Simple Energy,Simple Dot One,electric scooter,140499.0,introductory ex-showroom,3.7,151.0,IDC,105.0,8.5,current,https://www.simpleenergy.in/dot-one,official OEM product page,2026-09-12,verified,Fixed battery commuter variant.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Simple Energy,Simple One,electric scooter,166000.0,starting ex-showroom Bengaluru,5.0,212.0,IDC,105.0,8.5,current,https://www.simpleenergy.in/simple-one,official OEM product page,2026-09-12,verified,Dual battery architecture with 212 km IDC certified range.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
TVS Motor Company,iQube 2.3 kWh,electric scooter,95124.0,effective ex-showroom,2.3,114.0,IDC,68.0,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
TVS Motor Company,iQube 3.1 kWh,electric scooter,104962.0,effective ex-showroom,3.1,123.0,IDC,82.0,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
TVS Motor Company,iQube 3.5 kWh,electric scooter,110200.0,effective ex-showroom,3.5,145.0,IDC,82.0,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
TVS Motor Company,iQube MillionR Edition,electric scooter,113751.0,effective ex-showroom,3.5,145.0,IDC,82.0,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
TVS Motor Company,iQube S 4.7 kWh,electric scooter,130340.0,effective ex-showroom,4.7,175.0,IDC,82.0,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
TVS Motor Company,iQube ST 5.3 kWh,electric scooter,146877.0,effective ex-showroom,5.3,212.0,IDC,82.0,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ultraviolette Automotive,Ultraviolette F77 Mach 2,electric motorcycle,299000.0,introductory ex-showroom,7.1,211.0,IDC,155.0,27.0,launched 2024,https://www.ultraviolette.com/f77-mach2,official OEM product page,2026-09-12,verified,High-performance electric motorcycle with 10-level regenerative braking.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ultraviolette Automotive,Ultraviolette F77 Mach 2 Recon,electric motorcycle,399000.0,introductory ex-showroom,10.3,323.0,IDC,155.0,30.0,launched 2024,https://www.ultraviolette.com/f77-mach2,official OEM product page,2026-09-12,verified,Long-range performance flagship with 10.3 kWh battery pack.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
